"ISO2338def"
"Dia","d","c"
"0.6 mm",0.6,0.12
"0.8 mm",0.8,0.16
"1 mm",1,0.2
"1.2 mm",1.2,0.25
"1.5 mm",1.5,0.3
"2 mm",2,0.35
"2.5 mm",2.5,0.4
"3 mm",3,0.5
"4 mm",4,0.63
"5 mm",5,0.8
"6 mm",6,1.2
"8 mm",8,1.6
"10 mm",10,2
"12 mm",12,2.5
"16 mm",16,3
"20 mm",20,3.5
"25 mm",25,4
"30 mm",30,5
"40 mm",40,6.3
"50 mm",50,8

"ISO2338length"
"nom","min","max"
"2",1.75,2.25
"3",2.75,3.25
"4",3.75,4.25
"5",4.75,5.25
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO2338range"
"Dia","min_L","max_L"
"0.6 mm","2","6"
"0.8 mm","2","8"
"1 mm","4","10"
"1.2 mm","4","12"
"1.5 mm","4","16"
"2 mm","6","20"
"2.5 mm","6","24"
"3 mm","8","30"
"4 mm","8","40"
"5 mm","10","50"
"6 mm","12","60"
"8 mm","14","80"
"10 mm","18","95"
"12 mm","22","140"
"16 mm","26","180"
"20 mm","35","200"
"25 mm","50","200"
"30 mm","60","200"
"40 mm","80","200"
"50 mm","95","200"
